Rank	Full.Journal.Title	Issn	Total.Cites	Journal.Impact.Factor	5-Year.Impact.Factor	Eigenfactor.Score
10050	"Revista da Escola de Enfermagem da USP"	0080-6234	619	0.452	0.455	0.001200
10050	"STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE"	0039-3681	492	0.452	0.562	0.001120
10064	"ACTA CARSOLOGICA"	0583-6050	349	0.451	0.994	0.000700
10064	"MATHEMATIKA"	0025-5793	574	0.451	"Not Available"	0.001790
10064	"OXIDATION COMMUNICATIONS"	0209-4541	279	0.451	0.315	0.000300
10064	"SCHWEIZER ARCHIV FUR TIERHEILKUNDE"	0036-7281	419	0.451	0.486	0.000590
10068	"SENSORS AND MATERIALS"	0914-4935	201	0.450	0.432	0.000270
10069	"JOURNAL OF PORTFOLIO MANAGEMENT"	0095-4918	903	0.449	0.576	0.001740
10069	"MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE"	0960-1295	338	0.449	0.497	0.001610
10069	"Teachers and Teaching"	1354-0602	494	0.449	0.897	0.001160
1007	"INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY"	1461-1457	"Not Available"	4.009	4.533	0.013690
10072	"BULLETIN OF THE BRAZILIAN MATHEMATICAL SOCIETY"	1678-7544	224	0.448	0.609	0.001590
10072	"CHINESE ANNALS OF MATHEMATICS SERIES B"	0252-9599	504	0.448	0.587	0.002630
10072	"Gender and Language"	1747-6321	39	0.448	"Not Available"	0.000270
10072	"JOURNAL OF ACADEMIC LIBRARIANSHIP"	0099-1333	580	0.448	0.796	0.001020
10072	"JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES"	0889-1583	401	0.448	0.748	0.001200
10072	"Journal of Animal and Plant Sciences"	1018-7081	467	0.448	0.556	0.001310
10072	"Journal of Baltic Science Education"	1648-3898	99	0.448	0.412	0.000130
10079	"Diabetes Stoffwechsel und Herz"	1861-7603	74	0.447	0.199	0.000040
10079	"ENTOMOLOGICAL NEWS"	0013-872X	623	0.447	0.444	0.000680
10079	"EXPOSITIONES MATHEMATICAE"	0723-0869	372	0.447	0.683	0.001530
10079	"Review of Network Economics"	2194-5993	193	0.447	0.723	0.000820
10079	"SIBERIAN MATHEMATICAL JOURNAL"	0037-4466	"Not Available"	0.447	0.404	0.003640
1008	"JOURNAL OF IMMUNOTHERAPY"	1524-9557	"Not Available"	4.008	3.478	0.006300
10084	"European Journal of Paediatric Dentistry"	1591-996X	359	0.446	0.643	0.000690
10084	"Hypatia-A Journal of Feminist Philosophy"	0887-5367	616	0.446	0.778	0.001260
10084	"INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES"	0020-7438	422	0.446	0.721	0.000860
10084	"JAPAN AND THE WORLD ECONOMY"	0922-1425	265	0.446	0.516	0.000600
10084	"JOURNAL OF ALGEBRA AND ITS APPLICATIONS"	0219-4988	434	0.446	0.546	0.003650
10084	"RUSSIAN JOURNAL OF GENETICS"	1022-7954	"Not Available"	0.446	0.447	0.001200
10084	"Sains Malaysiana"	0126-6039	515	0.446	0.476	0.001150
10084	"Sex Education-Sexuality Society and Learning"	1468-1811	272	0.446	"Not Available"	0.000560
1009	"IEEE COMMUNICATIONS MAGAZINE"	0163-6804	"Not Available"	4.007	4.756	0.038400
10092	"Algebraic and Geometric Topology"	1472-2739	603	0.445	0.581	0.007130
10092	"STOCHASTIC ANALYSIS AND APPLICATIONS"	0736-2994	574	0.445	0.502	0.001740
10094	"BRITISH JOURNAL OF EDUCATIONAL STUDIES"	0007-1005	363	0.444	0.586	0.000520
10094	"BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN"	1370-1444	365	0.444	0.453	0.001780
10094	"ETHICS & BEHAVIOR"	1050-8422	390	0.444	0.676	0.000550
10094	"GENETIC COUNSELING"	1015-8146	358	0.444	0.405	0.000640
10094	"INDUSTRIAL LUBRICATION AND TRIBOLOGY"	0036-8792	354	0.444	0.699	0.000540
10094	"Nations and Nationalism"	1354-5078	483	0.444	0.699	0.001220
10094	"TECHNOLOGY REVIEW"	1099-274X	327	0.444	0.458	0.000770
10094	"UROLOGE"	0340-2592	644	0.444	0.387	0.000870
10094	"Zeitschrift fur Personalforschung"	0179-6437	69	0.444	0.581	0.000230
101	"Nature Climate Change"	1758-678X	"Not Available"	14.547	15.462	0.037590
1010	"FEBS Journal"	1742-464X	"Not Available"	4.001	4.068	0.048240
10103	"Bosnian Journal of Basic Medical Sciences"	1512-8601	237	0.443	0.599	0.000650
10103	"JOURNAL OF GROUP THEORY"	1433-5883	315	0.443	0.493	0.002930
10103	"Journal of the Balkan Tribological Association"	1310-4772	114	0.443	0.262	0.000080
10106	"ALGEBRA UNIVERSALIS"	0002-5240	502	0.442	0.400	0.001410
10106	"Agricultural Economics-Zemedelska Ekonomika"	0139-570X	194	0.442	0.398	0.000390
10106	"CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION"	0825-0383	356	0.442	0.791	0.000460
10106	"PHILOSOPHY OF THE SOCIAL SCIENCES"	0048-3931	320	0.442	0.500	0.000370
10106	"Rocznik Ochrona Srodowiska"	1506-218X	302	0.442	0.438	0.000550
10106	"STUDIA PSYCHOLOGICA"	0039-3320	160	0.442	0.462	0.000290
1011	"DEVELOPMENTAL REVIEW"	0273-2297	"Not Available"	4.000	5.958	0.002980
1011	"Frontiers in Aging Neuroscience"	1663-4365	"Not Available"	4.000	4.725	0.004460
1011	"Targeted Oncology"	1776-2596	562	4.000	3.531	0.002440
10113	"FUNDAMENTA MATHEMATICAE"	0016-2736	"Not Available"	0.441	0.484	0.003170
10113	"JARQ-JAPAN AGRICULTURAL RESEARCH QUARTERLY"	0021-3551	483	0.441	0.502	0.000550
10113	"PROBLEMS OF POST-COMMUNISM"	1075-8216	121	0.441	0.410	0.000580
10113	"Psicologica"	0211-2159	184	0.441	0.564	0.000510
10113	"Review of Economic Design"	1434-4742	132	0.441	0.384	0.000750
10113	"URBAN LAWYER"	0042-0905	143	0.441	0.399	0.000340
10119	"ANNEE PSYCHOLOGIQUE"	0003-5033	334	0.440	0.397	0.000250
10119	"Animal Cells and Systems"	1976-8354	99	0.440	0.355	0.000330
10119	"Annals of Economics and Finance"	1529-7373	92	0.440	0.385	0.000310
10119	"COMPUTER LANGUAGES SYSTEMS & STRUCTURES"	1477-8424	54	0.440	0.416	0.000270
10119	"JOURNAL OF SYSTEMS ARCHITECTURE"	1383-7621	446	0.440	0.709	0.001670
10119	"Journal of the Korean Statistical Society"	1226-3192	189	0.440	0.636	0.001420
10119	"LMS Journal of Computation and Mathematics"	1461-1570	151	0.440	0.556	0.001270
10126	"Bratislava Medical Journal-Bratislavske Lekarske Listy"	0006-9248	620	0.439	0.406	0.001140
10126	"ESAIM-Probability and Statistics"	1292-8100	217	0.439	0.554	0.001590
10126	"International Journal of Metalcasting"	1939-5981	45	0.439	0.333	0.000190
10126	"JOURNAL FOR THE HISTORY OF ASTRONOMY"	0021-8286	175	0.439	0.377	0.000420
10126	"Journal of Hospice & Palliative Nursing"	1522-2179	247	0.439	0.592	0.000520
10126	"Journal of Water Sanitation and Hygiene for Development"	2043-9083	73	0.439	0.492	0.000230
10133	"ANASTHESIOLOGIE INTENSIVMEDIZIN NOTFALLMEDIZIN SCHMERZTHERAPIE"	0939-2661	337	0.438	0.411	0.000440
10133	"AUSTRALIAN EDUCATIONAL RESEARCHER"	0311-6999	185	0.438	0.553	0.000600
10133	"Asian Economic Papers"	1535-3516	91	0.438	0.519	0.000350
10133	"Cambridge Review of International Affairs"	0955-7571	92	0.438	0.468	0.000660
10133	"Dissertationes Mathematicae"	0012-3862	79	0.438	0.342	0.000180
10133	"International Journal of Disability Development and Education"	1034-912X	394	0.438	0.903	0.000600
10133	"JOURNAL OF BUSINESS AND TECHNICAL COMMUNICATION"	1050-6519	140	0.438	0.691	0.000230
10133	"Journal of Internet Technology"	1607-9264	218	0.438	0.356	0.000490
10133	"KAGAKU KOGAKU RONBUNSHU"	0386-216X	364	0.438	0.296	0.000270
1014	"ATHEROSCLEROSIS"	0021-9150	"Not Available"	3.994	4.013	0.046890
10142	"EAST EUROPEAN POLITICS AND SOCIETIES"	0888-3254	220	0.437	0.509	0.001530
10142	"HUMAN ORGANIZATION"	0018-7259	834	0.437	0.646	0.000710
10142	"INTERNATIONAL JOURNAL OF GEOMETRIC METHODS IN MODERN PHYSICS"	0219-8878	668	0.437	0.564	0.002090
10145	"Anales del Sistema Sanitario De Navarra"	1137-6627	205	0.436	0.407	0.000280
10145	"VETERINARY CLINICS OF NORTH AMERICA-EQUINE PRACTICE"	0749-0739	913	0.436	1.141	0.001040
10148	"Ad Hoc & Sensor Wireless Networks"	1551-9899	137	0.435	0.513	0.000530
10148	"BUFFALO LAW REVIEW"	0023-9356	249	0.435	0.487	0.000360
10148	"BULLETIN OF ECONOMIC RESEARCH"	0307-3378	229	0.435	0.422	0.000520
10148	"CERAMICS-SILIKATY"	0862-5468	397	0.435	0.641	0.000900
10148	"European Integration Online Papers-EIOP"	1027-5193	119	0.435	0.500	0.000420
10148	"HISTORIA MATHEMATICA"	0315-0860	149	0.435	0.257	0.000230
10148	"JOURNAL OF APPLIED ANIMAL RESEARCH"	0971-2119	279	0.435	0.353	0.000530
10148	"SHILAP-REVISTA DE LEPIDOPTEROLOGIA"	0300-5267	243	0.435	0.437	0.000270
1015	"JOURNAL OF CLINICAL MICROBIOLOGY"	0095-1137	"Not Available"	3.993	4.068	0.072760
10157	"Australian Orthodontic Journal"	0587-3908	176	0.434	0.440	0.000420
10157	"Disaster Prevention and Management"	0965-3562	425	0.434	0.577	0.000540
10157	"EKONOMICKY CASOPIS"	0013-3035	150	0.434	0.327	0.000210
10157	"Frontiers of Computer Science"	2095-2228	163	0.434	0.464	0.000700
10157	"MARINE TECHNOLOGY SOCIETY JOURNAL"	0025-3324	554	0.434	0.693	0.001210
1016	"Agronomy for Sustainable Development"	1774-0746	"Not Available"	3.992	4.369	0.005310
10162	"China Foundry"	1672-6421	170	0.433	0.454	0.000450
10162	"European Journal of Hospital Pharmacy-Science and Practice"	2047-9956	68	0.433	0.433	0.000150
10162	"INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION"	0957-4352	743	0.433	0.449	0.000920
10162	"MINERVA PEDIATRICA"	0026-4946	415	0.433	"Not Available"	0.000800
10162	"PACIFIC JOURNAL OF MATHEMATICS"	0030-8730	"Not Available"	0.433	0.546	0.006830
10162	"TEACHING IN HIGHER EDUCATION"	1356-2517	694	0.433	0.897	0.001640
10168	"Boletin de la Sociedad Geologica Mexicana"	1405-3322	172	0.432	"Not Available"	0.000460
10168	"Economic Research-Ekonomska Istrazivanja"	1331-677X	118	0.432	0.382	0.000310
10168	"Israel Journal of Ecology & Evolution"	1565-9801	151	0.432	0.614	0.000420
10168	"JOURNAL OF MULTICULTURAL COUNSELING AND DEVELOPMENT"	0883-8534	304	0.432	0.609	0.000300
10168	"JOURNAL OF THE PALAEONTOLOGICAL SOCIETY OF INDIA"	0552-9360	216	0.432	"Not Available"	0.000260
10168	"Scandinavian Journal of Hospitality and Tourism"	1502-2250	266	0.432	0.942	0.000370
1017	"CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE"	1363-1950	"Not Available"	3.989	4.385	0.009190
1017	"Frontiers in Microbiology"	1664-302X	"Not Available"	3.989	4.170	0.023000
10174	"Acta Dermatovenerologica Croatica"	1330-027X	208	0.431	0.595	0.000400
10174	"B-ENT"	0001-6497	273	0.431	0.465	0.000550
10174	"Cultural Sociology"	1749-9755	169	0.431	0.842	0.000830
10174	"DIFFERENTIAL EQUATIONS"	0012-2661	"Not Available"	0.431	0.405	0.003000
10174	"Journal of Earthquake and Tsunami"	1793-4311	107	0.431	0.524	0.000450
10174	"REVUE SUISSE DE ZOOLOGIE"	0035-418X	806	0.431	0.397	0.000360
10174	"SOUTHEASTERN NATURALIST"	1528-7092	403	0.431	0.394	0.000740
10181	"Literary and Linguistic Computing"	0268-1145	247	0.430	0.508	0.000570
10181	"MICROPROCESSORS AND MICROSYSTEMS"	0141-9331	336	0.430	0.512	0.000960
10183	"ACTA MATHEMATICA HUNGARICA"	0236-5294	"Not Available"	0.429	0.422	0.002630
10183	"Brazilian Journal of Poultry Science"	1516-635X	367	0.429	0.557	0.000560
10183	"CURRENT PSYCHOLOGY"	1046-1310	514	0.429	0.842	0.000670
10183	"FOLIA LINGUISTICA HISTORICA"	0168-647X	36	0.429	0.364	0.000120
10183	"INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION"	0957-7572	170	0.429	0.506	0.000440
10183	"International Journal of Speech Language and the Law"	1748-8885	78	0.429	0.544	0.000170
10183	"International Peacekeeping"	1353-3312	253	0.429	0.579	0.001280
10183	"JOURNAL AMERICAN WATER WORKS ASSOCIATION"	2164-4535	"Not Available"	0.429	0.557	0.001120
10183	"JOURNAL OF OPTOELECTRONICS AND ADVANCED MATERIALS"	1454-4164	"Not Available"	0.429	0.416	0.002150
10183	"Journal of the Brazilian Society of Mechanical Sciences and Engineering"	1678-5878	336	0.429	0.447	0.000500
10183	"KYBERNETES"	0368-492X	515	0.429	0.347	0.000650
10183	"MICROPALEONTOLOGY"	0026-2803	"Not Available"	0.429	0.730	0.000410
10183	"Nuncius-Journal of the History of Science"	0394-7394	33	0.429	0.265	0.000420
10183	"Pragmatics and Society"	1878-9714	25	0.429	0.411	0.000230
10183	"RHODORA"	0035-4902	348	0.429	0.551	0.000150
10183	"SCOTTISH GEOGRAPHICAL JOURNAL"	1470-2541	250	0.429	0.876	0.000400
10183	"TURKISH JOURNAL OF PEDIATRICS"	0041-4301	765	0.429	0.498	0.001350
1019	"BMJ Quality & Safety"	2044-5415	"Not Available"	3.988	3.806	0.008780
1019	"HIV MEDICINE"	1464-2662	"Not Available"	3.988	3.389	0.008010
1019	"INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT"	0948-3349	"Not Available"	3.988	4.378	0.008530
10201	"International Journal of Climate Change Strategies and Management"	1756-8692	67	0.426	0.563	0.000320
10201	"SOCIOLOGICAL RESEARCH ONLINE"	1360-7804	427	0.426	0.473	0.001490
10203	"MATERIALWISSENSCHAFT UND WERKSTOFFTECHNIK"	0933-5137	852	0.425	0.501	0.001450
10203	"RADIOLOGE"	0033-832X	512	0.425	0.401	0.000620
10205	"Australian Academic & Research Libraries"	0004-8623	83	0.424	0.452	0.000160
10205	"Brazilian Journal of Probability and Statistics"	0103-0752	105	0.424	0.516	0.000960
10205	"Clinical and Experimental Obstetrics & Gynecology"	0390-6663	693	0.424	0.571	0.001170
10205	"EXPERIMENTAL MATHEMATICS"	1058-6458	570	0.424	0.619	0.002220
10205	"HOUSTON JOURNAL OF MATHEMATICS"	0362-1588	627	0.424	0.446	0.002830
10205	"INQUIRY-AN INTERDISCIPLINARY JOURNAL OF PHILOSOPHY"	0020-174X	465	0.424	0.646	0.000530
10205	"JOURNAL OF ZOO AND WILDLIFE MEDICINE"	1042-7260	"Not Available"	0.424	0.577	0.001870
10205	"Journal of Global Information Management"	1062-7375	212	0.424	0.590	0.000260
10213	"ACTA ARITHMETICA"	0065-1036	"Not Available"	0.423	0.487	0.005680
10213	"BIOTA NEOTROPICA"	1676-0603	"Not Available"	0.003060		
10213	"CELLULAR POLYMERS"	0262-4893	196	0.423	0.405	0.000120
10213	"EARTH SCIENCES HISTORY"	0736-623X	46	0.423	0.254	0.000110
10213	"ECONOMICS OF TRANSITION"	0967-0750	466	0.423	0.774	0.000910
10213	"International & Comparative Law Quarterly"	0020-5893	396	0.423	0.555	0.001040
10213	"Revista Internacional de Metodos Numericos para Calculo y Diseno en Ingenieria"	0213-1315	59	0.423	0.327	0.000160
10221	"Contemporary European History"	0960-7773	143	0.422	0.396	0.000950
10221	"GLASS AND CERAMICS"	0361-7610	569	0.422	0.379	0.000570
10221	"SPECTROSCOPY"	0887-6703	337	0.422	0.339	0.000340
10224	"EDUCATIONAL GERONTOLOGY"	0360-1277	664	0.421	0.665	0.001050
10224	"European Early Childhood Education Research Journal"	1350-293X	227	0.421	0.772	0.000560
10224	"JOURNAL OF JAPANESE STUDIES"	0095-6848	85	0.421	0.286	0.000100
10227	"Electronic Journal of Linear Algebra"	1537-9582	366	0.420	0.554	0.002430
10227	"FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE"	0015-1920	124	0.420	0.523	0.000270
10227	"INTERFACES"	0092-2102	"Not Available"	0.420	0.913	0.001480
10227	"Journal of Forensic Psychology Practice"	1522-8932	107	0.420	0.442	0.000260
10227	"Journal of Medical Devices-Transactions of the ASME"	1932-6181	245	0.420	0.604	0.001020
10227	"MATERIALS AT HIGH TEMPERATURES"	0960-3409	408	0.420	0.523	0.000760
10227	"PETROLEUM CHEMISTRY"	0965-5441	421	0.420	0.479	0.000870
10227	"Policy and Society"	1449-4035	206	0.420	"Not Available"	0.000900
10227	"Zemdirbyste-Agriculture"	1392-3196	180	0.420	0.469	0.000460
1023	"BMC GENOMICS"	1471-2164	"Not Available"	3.986	4.360	0.086450
10237	"European Journal on Criminal Policy and Research"	0928-1371	183	0.419	0.520	0.000360
10237	"FOOD AND DRUG LAW JOURNAL"	1064-590X	293	0.419	0.470	0.000330
10237	"HAHR-Hispanic American Historical Review"	0018-2168	277	0.419	0.507	0.000550
10237	"INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE"	1742-7584	232	0.419	"Not Available"	0.000330
10237	"World Englishes"	0883-2919	499	0.419	0.805	0.000820
1024	"AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY"	1044-1549	"Not Available"	3.985	4.416	0.024280
10243	"Annals of Forest Research"	1844-8135	69	0.418	"Not Available"	0.000210
10243	"Iranian Journal of Immunology"	1735-1383	158	0.418	0.649	0.000270
10243	"JOURNAL OF THE KOREAN PHYSICAL SOCIETY"	0374-4884	"Not Available"	0.418	0.476	0.008710
10243	"Norsk Geografisk Tidsskrift-Norwegian Journal of Geography"	0029-1951	296	0.418	0.684	0.000390
10247	"ARCHIVES EUROPEENNES DE SOCIOLOGIE"	0003-9756	191	0.417	0.563	0.000350
10247	"ARQUIVOS BRASILEIROS DE OFTALMOLOGIA"	0004-2749	514	0.417	0.444	0.001030
10247	"BULLETIN DE LA SOCIETE MATHEMATIQUE DE FRANCE"	0037-9484	"Not Available"	0.417	0.489	0.001380
10247	"HISTORY OF SCIENCE"	0073-2753	330	0.417	0.582	0.000670
10247	"International Journal of Wavelets Multiresolution and Information Processing"	0219-6913	302	0.417	0.637	0.000750
10247	"JOURNAL OF APPLIED STATISTICS"	0266-4763	"Not Available"	0.417	0.591	0.003700
10247	"JOURNAL OF MEDIA ECONOMICS"	0899-7764	140	0.417	0.410	0.000200
10247	"Rivista Italiana delle Sostanze Grasse"	0035-6808	217	0.417	0.336	0.000140
10247	"TRANSPORT THEORY AND STATISTICAL PHYSICS"	0041-1450	406	0.417	0.652	0.000510
10247	"VLAAMS DIERGENEESKUNDIG TIJDSCHRIFT"	0303-9021	143	0.417	0.343	0.000290
10247	"Zdravstveno Varstvo"	0351-0026	54	0.417	0.333	0.000120
1025	"JOURNAL OF APPLIED CRYSTALLOGRAPHY"	0021-8898	"Not Available"	3.984	4.901	0.024220
10259	"AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION"	0313-6647	424	0.416	0.687	0.000740
10259	"NATION"	0027-8378	606	0.416	0.291	0.003140
1026	"MEDICINE AND SCIENCE IN SPORTS AND EXERCISE"	0195-9131	"Not Available"	3.983	5.380	0.036760
1026	"Toxicology Research"	2045-452X	248	3.983	3.983	0.000690
10261	"AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS"	1369-1473	502	0.415	0.697	0.001200
10261	"Australian Journal of Anthropology"	1035-8811	130	0.415	0.516	0.000510
10261	"Journal of Zhejiang University-SCIENCE C-Computers & Electronics"	1869-1951	186	0.415	0.447	0.000790
10264	"English Today"	0266-0784	214	0.414	"Not Available"	0.000710
10264	"JOURNAL OF INFORMATION SCIENCE AND ENGINEERING"	1016-2364	434	0.414	0.419	0.000950
10264	"JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION"	0030-9982	"Not Available"	0.002730		
10264	"OMEGA-JOURNAL OF DEATH AND DYING"	0030-2228	662	0.414	0.885	0.000980
10264	"OSTRICH"	0030-6525	520	0.414	0.514	0.000450
10264	"Revista Brasileira de Fruticultura"	0100-2945	"Not Available"	0.414	0.555	0.001790
10264	"Structural Engineering International"	1016-8664	386	0.414	"Not Available"	0.000930
10271	"CHINESE JOURNAL OF PHYSICS"	0577-9073	477	0.413	0.475	0.001070
10271	"DOKLADY CHEMISTRY"	0012-5008	365	0.413	0.447	0.000750
10271	"Hacettepe Journal of Mathematics and Statistics"	1303-5010	239	0.413	0.506	0.000920
10271	"INDIAN JOURNAL OF ENGINEERING AND MATERIALS SCIENCES"	0971-4588	422	0.413	0.671	0.000780
10271	"JOURNAL OF KNOT THEORY AND ITS RAMIFICATIONS"	0218-2165	557	0.413	0.405	0.002800
10276	"BALTIC FORESTRY"	1392-1355	145	0.412	0.488	0.000250
10277	"Geofisica Internacional"	0016-7169	327	0.411	0.482	0.000490
10277	"Indian Journal of Traditional Knowledge"	0972-5938	626	0.411	0.595	0.000930
10277	"Journal of Volcanology and Seismology"	0742-0463	205	0.411	0.400	0.000550
10277	"MATHEMATICAL RESEARCH LETTERS"	1073-2780	"Not Available"	0.411	0.713	0.009110
10277	"ZOOLOGY IN THE MIDDLE EAST"	0939-7140	373	0.411	0.522	0.000680
1028	"Alzheimers Research & Therapy"	1758-9193	676	3.979	4.364	0.003290
10282	"GRUPPENPSYCHOTHERAPIE UND GRUPPENDYNAMIK"	0017-4947	73	0.410	0.306	0.000090
10282	"Journal of Pension Economics & Finance"	1474-7472	166	0.410	0.938	0.002040
10282	"Lecture Notes in Mathematics"	0075-8434	"Not Available"	0.410	0.702	0.012460
10282	"POLITICAL SCIENCE QUARTERLY"	0032-3195	712	0.410	0.712	0.001360
10282	"TRENDS IN GLYCOSCIENCE AND GLYCOTECHNOLOGY"	0915-7352	219	0.410	0.514	0.000280
10287	"Asian and Pacific Migration Journal"	0117-1968	114	0.409	0.398	0.000410
10287	"INTERNATIONAL JOURNAL OF POWDER METALLURGY"	0888-7462	303	0.409	0.634	0.000470
